# Based on the WLTC drive cycle
# see #1264 for discussion and how to use this drive cycle
# time [s],Power [kW]
22.7,4.154662
22.8,4.166091
22.9,3.934657
23,3.94435
23.1,2.798358
23.2,2.801651
23.3,2.804942
23.4,2.378254
23.5,2.379949
23.6,2.611703
23.7,2.614198
23.8,2.616692
23.9,2.779849
24,2.782967
24.1,10.082203
24.2,10.172561
24.3,10.26288
24.4,12.97645
24.5,13.12289
24.6,11.135248
24.7,11.2356
24.8,11.335905
24.9,9.927047
25,10.000589
25.1,5.771088
25.2,5.791014
25.3,5.810929
25.4,4.132299
25.5,4.1402
25.6,4.791651
25.7,4.803475
25.8,4.815293
25.9,5.304401
26,5.319564
26.1,12.035293
26.2,12.137406
26.3,12.239466
26.4,14.80244
26.5,14.952908
26.6,13.312382
26.7,13.427036
26.8,13.541627
26.9,12.383097
27,12.475696
27.1,13.726286
27.2,13.83837
27.3,13.95039
27.4,14.276475
27.5,14.391804
27.6,13.676569
27.7,13.777912
27.8,13.879187
27.9,13.431908
28,13.524584
28.1,13.296202
28.2,13.384014
28.3,13.471764
28.4,13.375501
28.5,13.460531
28.6,13.446955
28.7,13.530532
28.8,13.614047
28.9,13.64966
29,13.732411
29.1,11.595762
29.2,11.651463
29.3,11.707121
29.4,10.99366
29.5,11.041243
29.6,11.722827
29.7,11.776836
29.8,11.830802
29.9,12.338155
30,12.396845
30.1,5.129709
30.2,5.135445
30.3,5.141177
30.4,2.75017
30.5,2.750097
30.6,4.988869
30.7,4.994046
30.8,4.999219
30.9,6.544727
31,6.556354
31.1,4.435172
31.2,4.438473
31.3,4.441771
31.4,3.956319
31.5,3.958341
31.6,5.148123
31.7,5.153635
31.8,5.159143
31.9,5.952719
32,5.961274
32.1,4.897676
32.2,4.902214
32.3,4.906747
32.4,4.664584
32.5,4.668349
32.6,5.270644
32.7,5.276349
32.8,5.282049
32.9,5.683291
33,5.690447
33.1,5.153844
33.2,5.159016
33.3,5.164183
33.4,5.041606
33.5,5.046344
33.6,5.350282
33.7,5.356021
33.8,5.361754
33.9,5.564235
34,5.570664
34.1,2.551667
34.2,2.551214
34.3,2.550761
34.4,1.567792
34.5,1.566921
34.6,2.458985
34.7,2.458462
34.8,2.45794
34.9,3.076185
35,3.076333
35.1,0.291064
35.2,0.291064
35.3,0.291064
35.4,0.291064
35.5,0.291064
35.6,0.936288
35.7,0.935631
35.8,0.934974
35.9,1.392022
36,1.391182
36.1,0.291064
36.2,0.291064
36.3,0.291064
36.4,0.291064
36.5,0.291064
36.6,0.291064
36.7,0.291064
36.8,0.291064
36.9,0.291064
37,0.291064
37.1,0.291064
37.2,0.291064
37.3,0.291064
37.4,0.291064
37.5,0.291064
37.6,0.291064
37.7,0.291064
37.8,0.291064
37.9,0.291064
38,0.291064
38.1,0.291064
38.2,0.291064
38.3,0.291064
38.4,0.291064
38.5,0.291064
38.6,0.291064
38.7,0.291064
38.8,0.291064
38.9,0.291064
39,0.291064
39.1,0.291064
39.2,0.291064
39.3,0.291064
39.4,0.291064
39.5,0.291064
39.6,0.291064
39.7,0.291064
39.8,0.291064
39.9,0.291064
40,0.291064
40.1,0.291064
40.2,0.291064
40.3,0.291064
40.4,0.291064
40.5,0.291064
40.6,0.291064
40.7,0.291064
40.8,0.291064
40.9,0.291064
41,0.291064
41.1,0.291064
41.2,0.291064
41.3,0.291064
41.4,0.291064
41.5,0.291064
41.6,0.291064
41.7,0.291064
41.8,0.291064
41.9,0.291064
42,0.291064
42.1,0.291064
42.2,0.291064
42.3,0.291064
42.4,0.291064
42.5,0.291064
42.6,0.291064
42.7,0.291064
42.8,0.291064
42.9,0.291064
43,0.291064
43.1,0.291064
43.2,0.291064
43.3,0.291064
43.4,0.291064
43.5,0.291064
43.6,0.291064
43.7,0.291064
43.8,0.291064
43.9,0.291064
44,0.291064
44.1,0.291064
44.2,0.291064
44.3,0.291064
44.4,0.291064
44.5,0.291064
44.6,0.291064
44.7,0.291064
44.8,0.291064
44.9,0.291064
45,0.291064
45.1,0.291064
45.2,0.291064
45.3,0.291064
45.4,0.550752
45.5,0.550347
45.6,0.427742
45.7,0.427484
45.8,0.427223
45.9,0.291064
46,0.291064
46.1,0.291064
46.2,0.291064
46.3,0.291064
46.4,0.291064
46.5,0.291064
46.6,0.291064
46.7,0.291064
46.8,0.291064
46.9,0.291064
47,0.291064
47.1,0.291064
47.2,0.291064
47.3,0.291064
47.4,0.291064
47.5,0.291064
47.6,0.291064
47.7,0.291064
47.8,0.291064
47.9,0.291064
48,0.291064
48.1,0.291064
48.2,0.291064
48.3,0.291064
48.4,0.291064
48.5,0.291064
48.6,0.291064
48.7,0.291064
48.8,0.291064
48.9,0.291064
49,0.291064
49.1,1.218785
49.2,1.219128
49.3,1.219471
49.4,1.692521
49.5,1.694948
49.6,1.490896
49.7,1.492257
49.8,1.493617
49.9,1.344745
50,1.345485
50.1,0.291064
50.2,0.291064
50.3,0.291064
50.4,0.291064
50.5,0.291064
50.6,0.291064
50.7,0.291064
50.8,0.291064
50.9,0.291064
51,0.291064
51.1,0.291064
51.2,0.291064
51.3,0.291064
51.4,0.291064
51.5,0.291064
51.6,0.291064
51.7,0.291064
51.8,0.291064
51.9,0.291064
52,0.291064
52.1,0.291064
52.2,0.291064
52.3,0.291064
52.4,0.291064
52.5,0.291064
52.6,0.291064
52.7,0.291064
52.8,0.291064
52.9,0.291064
53,0.291064
53.1,0.291064
53.2,0.291064
53.3,0.291064
53.4,0.291064
53.5,0.291064
53.6,0.291064
53.7,0.291064
53.8,0.291064
53.9,0.291064
54,0.291064
54.1,0.654667
54.2,0.654276
54.3,0.653885
54.4,0.997013
54.5,0.997813
54.6,0.894341
54.7,0.894628
54.8,0.894915
54.9,0.815718
55,0.815705
55.1,0.983597
55.2,0.984311
55.3,0.985024
55.4,1.030093
55.5,1.031055
55.6,0.95324
55.7,0.953777
55.8,0.954314
55.9,0.902126
56,0.902422
56.1,0.871216
56.2,0.871384
56.3,0.871551
56.4,0.853003
56.5,0.8531
56.6,0.842128
56.7,0.842186
56.8,0.842243
56.9,0.835729
57,0.835764
57.1,1.488876
57.2,1.493708
57.3,1.498539
57.4,1.727605
57.5,1.735193
57.6,1.549494
57.7,1.554684
57.8,1.559872
57.9,1.430804
58,1.434595
58.1,1.358122
58.2,1.361174
58.3,1.364226
58.4,1.319888
58.5,1.322539
58.6,1.297573
58.7,1.3
58.8,1.302427
58.9,1.288764
59,1.291066
59.1,5.646323
59.2,5.772963
59.3,5.899596
59.4,7.687314
59.5,7.897935
59.6,6.673787
59.7,6.813337
59.8,6.952877
59.9,6.036279
60,6.135252
60.1,1.095905
60.2,1.088624
60.3,1.082012
60.4,0.291064
60.5,0.291064
60.6,0.834082
60.7,0.833737
60.8,0.833393
60.9,1.306878
61,1.307972
61.1,1.602606
61.2,1.605377
61.3,1.608148
61.4,1.788341
61.5,1.792397
61.6,1.902489
61.7,1.907411
61.8,1.912332
61.9,1.981418
62,1.986892
62.1,1.144832
62.2,1.145166
62.3,1.145499
62.4,0.875271
62.5,0.874958
62.6,1.135927
62.7,1.136233
62.8,1.136538
62.9,1.318051
63,1.319045
63.1,3.219786
63.2,3.240777
63.3,3.261765
63.4,3.976899
63.5,4.010443
63.6,3.549791
63.7,3.574214
63.8,3.598632
63.9,3.272319
64,3.291229
64.1,2.455448
64.2,2.463839
64.3,2.472227
64.4,2.138451
64.5,2.143788
64.6,2.26263
64.7,2.268902
64.8,2.275172
64.9,2.368207
65,2.375229
65.1,1.11514
65.2,1.115115
65.3,1.11509
65.4,0.715872
65.5,0.715383
65.6,1.095944
65.7,1.095883
65.8,1.095823
65.9,1.36339
66,1.364087
66.1,1.524828
66.2,1.526161
66.3,1.527495
66.4,1.62388
66.5,1.625653
66.6,1.683581
66.7,1.685636
66.8,1.68769
66.9,1.723087
67,1.725314
67.1,7.206181
67.2,7.310805
67.3,7.415412
67.4,9.539637
67.5,9.712567
67.6,8.187513
67.7,8.303269
67.8,8.419005
67.9,7.31382
68,7.396729
68.1,10.777071
68.2,10.958564
68.3,11.140039
68.4,12.322859
68.5,12.539262
68.6,11.240993
68.7,11.407042
68.8,11.573153
68.9,10.674641
69,10.810521
69.1,12.193171
69.2,12.363859
69.3,12.534481
69.4,12.990221
69.5,13.168835
69.6,12.555233
69.7,12.712018
69.8,12.868759
69.9,12.488622
70,12.631917
70.1,12.459378
70.2,12.595102
70.3,12.730765
70.4,12.683819
70.5,12.8153
70.6,12.849789
70.7,12.979045
70.8,13.108238
70.9,13.191549
71,13.319661
71.1,10.474037
71.2,10.548233
71.3,10.622392
71.4,9.672893
71.5,9.732104
71.6,10.656386
71.7,10.727908
71.8,10.799392
71.9,11.493117
72,11.573873
72.1,5.775443
72.2,5.79069
72.3,5.805928
72.4,3.931384
72.5,3.936298
72.6,5.858715
72.7,5.874112
72.8,5.889501
72.9,7.229133
73,7.254741
73.1,3.609457
73.2,3.61288
73.3,3.616301
73.4,2.592201
73.5,2.592859
73.6,4.14392
73.7,4.149321
73.8,4.154718
73.9,5.205012
74,5.215479
74.1,4.560844
74.2,4.567896
74.3,4.574943
74.4,4.517369
74.5,4.524111
74.6,5.121117
74.7,5.130751
74.8,5.140378
74.9,5.537071
75,5.548825
75.1,6.450334
75.2,6.467731
75.3,6.485116
75.4,6.866325
75.5,6.886267
75.6,6.800086
75.7,6.819231
75.8,6.838363
75.9,6.777927
76,6.796471
76.1,7.448091
76.2,7.47126
76.3,7.494412
76.4,7.724014
76.5,7.748736
76.6,7.565473
76.7,7.588549
76.8,7.611608
76.9,7.494875
77,7.51686
77.1,5.359672
77.2,5.368466
77.3,5.377257
77.4,4.630843
77.5,4.636388
77.6,5.214803
77.7,5.222732
77.8,5.230655
77.9,5.637437
78,5.647223
78.1,1.661558
78.2,1.659286
78.3,1.658214
78.4,0.783194
78.5,0.782648
78.6,1.887446
78.7,1.886843
78.8,1.886241
78.9,2.643757
79,2.643945
79.1,0.291064
79.2,0.291064
79.3,0.291064
79.4,0.291064
79.5,0.291064
79.6,0.291064
79.7,0.291064
79.8,0.291064
79.9,0.291064
80,0.291064
80.1,0.603762
80.2,0.60337
80.3,0.602978
80.4,0.680602
80.5,0.680142
80.6,0.717635
80.7,0.717144
80.8,0.716654
80.9,0.732312
81,0.73181
81.1,0.291064
81.2,0.291064
81.3,0.291064
81.4,0.291064
81.5,0.291064
81.6,0.291064
81.7,0.291064
81.8,0.291064
81.9,0.291064
82,0.291064
82.1,0.896683
82.2,0.896075
82.3,0.895468
82.4,1.852982
82.5,1.852512
82.6,1.717562
82.7,1.716997
82.8,1.716432
82.9,1.593349
83,1.592719
83.1,1.513788
83.2,1.513128
83.3,1.512468
83.4,1.461652
83.5,1.460978
83.6,1.426906
83.7,1.426224
83.8,1.425542
83.9,1.401398
84,1.400712
84.1,0.291064
84.2,0.291064
84.3,0.291064
84.4,0.291064
84.5,0.291064
84.6,0.291064
84.7,0.291064
84.8,0.291064
84.9,0.291064
85,0.291064
85.1,0.291064
85.2,0.291064
85.3,0.291064
85.4,0.291064
85.5,0.291064
85.6,0.291064
85.7,0.291064
85.8,0.291064
85.9,0.291064
86,0.291064
86.1,0.291064
86.2,0.291064
86.3,0.291064
86.4,0.291064
86.5,0.291064
86.6,0.291064
86.7,0.291064
86.8,0.291064
86.9,0.291064
87,0.291064
87.1,0.493191
87.2,0.492905
87.3,0.492618
87.4,0.792802
87.5,0.792258
87.6,0.809655
87.7,0.809101
87.8,0.808547
87.9,0.806717
88,0.806165
88.1,0.291064
88.2,0.291064
88.3,0.291064
88.4,0.291064
88.5,0.291064
88.6,0.291064
88.7,0.291064
88.8,0.291064
88.9,0.291064
89,0.291064
89.1,0.291064
89.2,0.291064
89.3,0.291064
89.4,0.291064
89.5,0.291064
89.6,0.291064
89.7,0.291064
89.8,0.291064
89.9,0.291064
90,0.291064
90.1,0.291064
90.2,0.291064
90.3,0.291064
90.4,0.291064
90.5,0.291064
90.6,0.291064
90.7,0.291064
90.8,0.291064
90.9,0.291064
91,0.291064
91.1,0.291064
91.2,0.291064
91.3,0.291064
91.4,0.291064
91.5,0.291064
91.6,0.291064
91.7,0.291064
91.8,0.291064
91.9,0.291064
92,0.291064
92.1,0.291064
92.2,0.291064
92.3,0.291064
92.4,0.291064
92.5,0.291064
92.6,0.291064
92.7,0.291064
92.8,0.291064
92.9,0.291064
93,0.291064
93.1,0.291064
93.2,0.291064
93.3,0.291064
93.4,0.291064
93.5,0.291064
93.6,0.291064
93.7,0.291064
93.8,0.291064
93.9,0.291064
94,0.291064
94.1,0.291064
94.2,0.291064
94.3,0.291064
94.4,0.291064
94.5,0.291064
94.6,0.291064
94.7,0.291064
94.8,0.291064
94.9,0.291064
95,0.291064
95.1,0.291064
95.2,0.291064
95.3,0.291064
95.4,0.291064
95.5,0.291064
95.6,0.291064
95.7,0.291064
95.8,0.291064
95.9,0.291064
96,0.291064
96.1,0.291064
96.2,0.291064
96.3,0.291064
96.4,0.291064
96.5,0.291064
96.6,0.291064
96.7,0.291064
96.8,0.291064
96.9,0.291064
97,0.291064
97.1,0.291064
97.2,0.291064
97.3,0.291064
97.4,0.291064
97.5,0.291064
97.6,0.291064
97.7,0.291064
97.8,0.291064
97.9,0.291064
98,0.291064
98.1,0.291064
98.2,0.291064
98.3,0.291064
98.4,0.291064
98.5,0.29111
98.6,0.291223
98.7,0.29132
98.8,0.291283
98.9,0.29115
99,0.291065
99.1,0.291066
99.2,0.291067
99.3,0.291068
99.4,0.291069
99.5,0.29107
99.6,0.291071
99.7,0.291071
99.8,0.291071
99.9,0.291072
100,0.291072
100.1,0.291072
100.2,0.291072
100.3,0.291072
100.4,0.291072
100.5,0.291071
100.6,0.291071
100.7,0.291071
100.8,0.29107
100.9,0.29107
101,0.29107
101.1,0.291069
101.2,0.291069
101.3,0.291068
101.4,0.291068
101.5,0.291068
101.6,0.291067
101.7,0.291067
101.8,0.291066
101.9,0.291066
102,0.291065
102.1,0.291065
102.2,0.291065
102.3,0.291065
102.4,0.291064
102.5,0.291064
102.6,0.291064
102.7,0.291064
102.8,0.291064
102.9,0.291065
103,0.291065
103.1,0.291065
103.2,0.291065
103.3,0.291065
103.4,0.291065
103.5,0.291065
103.6,0.291065
103.7,0.291065
103.8,0.291065
103.9,0.291065
104,0.291065
104.1,0.291065
104.2,0.291065
104.3,0.291065
104.4,0.291065
104.5,0.291065
104.6,0.291065
104.7,0.291065
104.8,0.291065
104.9,0.291065
105,0.291065
105.1,0.291064
105.2,0.291064
105.3,0.291064
105.4,0.291064
105.5,0.291064
105.6,0.291064
105.7,0.291064
105.8,0.291064
105.9,0.291064
106,0.291064
106.1,0.291064
106.2,0.291064
106.3,0.291064
106.4,0.291064
106.5,0.291064
106.6,0.291064
106.7,0.291064
106.8,0.291064
106.9,0.291064
107,0.291064
107.1,0.291064
107.2,0.291064
107.3,0.291064
107.4,0.291064
107.5,0.291064
107.6,0.291064
107.7,0.291064
107.8,0.291064
107.9,0.291064
108,0.291064
108.1,0.291064
108.2,0.291064
108.3,0.291064
108.4,0.291064
108.5,0.291064
108.6,0.291064
108.7,0.291064
108.8,0.291064
108.9,0.291064
109,0.291064
109.1,0.291064
109.2,0.291064
109.3,0.291064
109.4,0.291064
109.5,0.291064
109.6,0.291064
109.7,0.291064
109.8,0.291064
109.9,0.291064
110,0.291064
110.1,0.291064
110.2,0.291064
110.3,0.291064
110.4,0.291064
110.5,0.291064
110.6,0.291064
110.7,0.291064
110.8,0.291064
110.9,0.291064
111,0.291064
111.1,0.291064
111.2,0.291064
111.3,0.291064
111.4,0.291064
111.5,0.291064
111.6,0.291064
111.7,0.291064
111.8,0.291064
111.9,0.291064
112,0.291064
112.1,0.291064
112.2,0.291064
112.3,0.291064
112.4,0.291064
112.5,0.291064
112.6,0.291064
112.7,0.291064
112.8,0.291064
112.9,0.291064
113,0.291064
113.1,0.291064
113.2,0.291064
113.3,0.291064
113.4,0.291064
113.5,0.291064
113.6,0.291064
113.7,0.291064
113.8,0.291064
113.9,0.291064
114,0.291064
114.1,0.291064
114.2,0.291064
114.3,0.291064
114.4,0.291064
114.5,0.291064
114.6,0.291064
114.7,0.291064
114.8,0.291064
114.9,0.291064
115,0.291064
115.1,0.291064
115.2,0.291064
115.3,0.291064
115.4,0.291064
115.5,0.291064
115.6,0.291064
115.7,0.291064
115.8,0.291064
115.9,0.291064
116,0.291064
116.1,0.291064
116.2,0.291064
116.3,0.291064
116.4,0.291064
116.5,0.291064
116.6,0.291064
116.7,0.291064
116.8,0.291064
116.9,0.291064
117,0.291064
117.1,0.291064
117.2,0.291064
117.3,0.291064
117.4,0.291064
117.5,0.291064
117.6,0.291064
117.7,0.291064
117.8,0.291064
117.9,0.291064
118,0.291064
118.1,0.291064
118.2,0.291064
118.3,0.291064
118.4,0.291064
118.5,0.291064
118.6,0.291064
118.7,0.291064
118.8,0.291064
118.9,0.291064
119,0.291064
119.1,0.291064
119.2,0.291064
119.3,0.291064
119.4,0.291064
119.5,0.291064
119.6,0.291064
119.7,0.291064
119.8,0.291064
119.9,0.291064
120,0.291064
120.1,0.291064
120.2,0.291064
120.3,0.291064
120.4,0.291064
120.5,0.291064
120.6,0.291064
120.7,0.291064
120.8,0.291064
120.9,0.291064
121,0.291064
121.1,0.291064
121.2,0.291064
121.3,0.291064
121.4,0.291064
121.5,0.291064
121.6,0.291064
121.7,0.291064
121.8,0.291064
121.9,0.291064
122,0.291064
122.1,0.291064
122.2,0.291064
122.3,0.291064
122.4,0.291064
122.5,0.291064
122.6,0.291064
122.7,0.291064
122.8,0.291064
122.9,0.291064
123,0.291064
123.1,0.291064
123.2,0.291064
123.3,0.291064
123.4,0.291064
123.5,0.291064
123.6,0.291064
123.7,0.291064
123.8,0.291064
123.9,0.291064
124,0.291064
124.1,0.291064
124.2,0.291064
124.3,0.291064
124.4,0.291064
124.5,0.291064
124.6,0.291064
124.7,0.291064
124.8,0.291064
124.9,0.291064
125,0.291064
125.1,0.291064
125.2,0.291064
125.3,0.291064
125.4,0.291064
125.5,0.291064
125.6,0.291064
125.7,0.291064
125.8,0.291064
125.9,0.291064
126,0.291064
126.1,0.291064
126.2,0.291064
126.3,0.291064
126.4,0.291064
126.5,0.291064
126.6,0.291064
126.7,0.291064
126.8,0.291064
126.9,0.291064
127,0.291064
127.1,0.291064
127.2,0.291064
127.3,0.291064
127.4,0.291064
127.5,0.291064
127.6,0.291064
127.7,0.291064
127.8,0.291064
127.9,0.291064
128,0.291064
128.1,0.291064
128.2,0.291064
128.3,0.291064
128.4,0.291064
128.5,0.291064
128.6,0.291064
128.7,0.291064
128.8,0.291064
128.9,0.291064
129,0.291064
129.1,0.291064
129.2,0.291064
129.3,0.291064
129.4,0.291064
129.5,0.291064
129.6,0.291064
129.7,0.291064
129.8,0.291064
129.9,0.291064
130,0.291064
130.1,0.291064
130.2,0.291064
130.3,0.291064
130.4,0.291064
130.5,0.291064
130.6,0.291064
130.7,0.291064
130.8,0.291064
130.9,0.291064
131,0.291064
131.1,0.291064
131.2,0.291064
131.3,0.291064
131.4,0.291064
131.5,0.291064
131.6,0.291064
131.7,0.291064
131.8,0.291064
131.9,0.291064
132,0.291064
132.1,0.291064
132.2,0.291064
132.3,0.291064
132.4,0.291064
132.5,0.291064
132.6,0.291064
132.7,0.291064
132.8,0.291064
132.9,0.291064
133,0.291064
133.1,0.291064
133.2,0.291064
133.3,0.291064
133.4,0.291064
133.5,0.291064
133.6,0.291064
133.7,0.291064
133.8,0.291064
133.9,0.291064
134,0.291064
134.1,0.291064
134.2,0.291064
134.3,0.291064
134.4,0.291064
134.5,0.291064
134.6,0.291064
134.7,0.291064
134.8,0.291064
134.9,0.291064
135,0.291064
135.1,0.291064
135.2,0.291064
135.3,0.291064
135.4,0.291064
135.5,0.291064
135.6,0.291064
135.7,0.291064
135.8,0.291064
135.9,0.291064
136,0.291064
136.1,0.291068
136.2,0.291083
136.3,0.291098
136.4,0.319317
136.5,0.349801
136.6,0.378044
136.7,0.405049
136.8,0.431971
136.9,0.413776
137,0.428218
137.1,0.458864
137.2,0.476968
137.3,0.495071
137.4,0.783896
137.5,0.868309
137.6,0.825845
137.7,0.880993
137.8,0.936135
137.9,0.55046
138,0.556752
138.1,1.729257
138.2,1.948274
138.3,2.140217
138.4,2.420012
138.5,2.627153
138.6,1.672333
138.7,1.73498
138.8,1.797613
138.9,2.337763
139,2.443107
139.1,5.129756
139.2,5.585252
139.3,6.040428
139.4,8.195704
139.5,8.902483
139.6,8.384856
139.7,8.925166
139.8,9.465347
139.9,7.455487
140,7.757164
140.1,8.874724
140.2,9.24149
140.3,9.60825
140.4,9.236006
140.5,9.55024
140.6,7.513906
140.7,7.692157
140.8,7.870394
140.9,6.606458
141,6.724076
141.1,5.479537
141.2,5.551894
141.3,5.624245
141.4,5.929836
141.5,6.008853
141.6,7.712643
141.7,7.844646
141.8,7.976633
141.9,9.242009
142,9.4157
142.1,2.329724
142.2,2.317814
142.3,2.31294
142.4,1.064098
142.5,1.063876
142.6,3.13858
142.7,3.151858
142.8,3.165132
142.9,4.608716
143,4.642344
143.1,-0.276784
143.2,-0.270533
143.3,-0.266108
143.4,-0.230175
143.5,-0.228337
143.6,1.457068
143.7,1.457848
143.8,1.458628
143.9,2.329108
144,2.334673
144.1,2.492505
144.2,2.499263
144.3,2.506018
144.4,2.692356
144.5,2.700637
144.6,2.988111
144.7,2.999031
144.8,3.009947
144.9,3.196624
145,3.209346
145.1,7.432958
145.2,7.526091
145.3,7.619205
145.4,9.265456
145.5,9.403237
145.6,8.322057
145.7,8.424762
145.8,8.527458
145.9,7.754823
146,7.83622
146.1,9.966154
146.2,10.100054
146.3,10.233973
146.4,10.961217
146.5,11.112016
146.6,10.287221
146.7,10.411454
146.8,10.535639
146.9,9.982507
147,10.090356
147.1,8.334862
147.2,8.4041
147.3,8.473309
147.4,7.791224
147.5,7.847544
147.6,8.184044
147.7,8.244912
147.8,8.305763
147.9,8.584319
148,8.648707
148.1,4.699734
148.2,4.714413
148.3,4.729086
148.4,3.418256
148.5,3.424079
148.6,4.658757
148.7,4.672628
148.8,4.686492
148.9,5.551722
149,5.572919
149.1,1.348223
149.2,1.345057
149.3,1.342994
149.4,0.69699
149.5,0.696503
149.6,1.960384
149.7,1.960765
149.8,1.961145
149.9,2.816028
150,2.818907
150.1,-4.111747
150.2,-4.074673
150.3,-4.043238
150.4,-2.526393
150.5,-2.512104
150.6,0.204209
150.7,0.20433
150.8,0.204452
150.9,0.630637
151,0.630196
151.1,-3.405908
151.2,-3.377068
151.3,-3.347083
151.4,-4.27556
151.5,-4.239739
151.6,-4.071281
151.7,-4.037382
151.8,-4.003499
151.9,-3.956404
152,-3.922745
152.1,-6.84718
152.2,-6.709455
152.3,-6.571015
152.4,-6.13223
152.5,-6.006556
152.6,-5.606865
152.7,-5.489094
152.8,-5.372239
152.9,-5.02052
153,-4.909268
153.1,-4.589284
153.2,-4.462111
153.3,-4.335417
153.4,-4.041129
153.5,-3.921404
153.6,-3.659717
153.7,-3.545086
153.8,-3.430813
153.9,-3.200316
154,-3.089953
154.1,-2.891554
154.2,-2.817899
154.3,-2.743969
154.4,-2.587501
154.5,-2.512099
154.6,-2.366968
154.7,-2.291985
154.8,-2.216685
154.9,-2.0845
155,-2.010546
155.1,-0.700474
155.2,-0.690339
155.3,-0.680187
155.4,0.130679
155.5,0.131702
155.6,-0.28486
155.7,-0.280061
155.8,-0.274827
155.9,-0.46269
156,-0.455135
156.1,2.0158
156.2,2.030801
156.3,2.0458
156.4,3.035477
156.5,3.075468
156.6,2.578804
156.7,2.60398
156.8,2.629191
156.9,2.260414
157,2.277055
157.1,4.14076
157.2,4.210671
