# OCP for lico2 from Rieger 2016 
# stoichiometry , OCP [V]
0.620261819,3.995368353
0.621528178,3.994032487
0.622794537,3.99288746
0.624060896,3.991551594
0.625327255,3.990215728
0.626593614,3.9890707
0.627859973,3.987734835
0.629126331,3.986398969
0.63039269,3.985253941
0.631659049,3.984108913
0.632925408,3.982773048
0.634191767,3.98162802
0.635458126,3.980292154
0.636724485,3.979147126
0.637990844,3.978192937
0.639257202,3.976857071
0.640523561,3.975712043
0.64178992,3.974567015
0.643056279,3.973421988
0.644322638,3.97227696
0.645588997,3.970941094
0.646855356,3.969986904
0.648121715,3.968841877
0.649388074,3.967696849
0.650654432,3.966742659
0.651920791,3.965597631
0.65318715,3.964452603
0.654453509,3.963498414
0.655719868,3.962353386
0.656986227,3.961208358
0.658252586,3.960254168
0.659518945,3.959109141
0.660785304,3.958154951
0.662051662,3.957200761
0.663318021,3.956055733
0.66458438,3.955101543
0.665850739,3.954147354
0.667117098,3.953002326
0.668383457,3.952048136
0.669649816,3.951284784
0.670916175,3.950139756
0.672182533,3.949185567
0.673448892,3.948231377
0.674715251,3.947277187
0.67598161,3.946513835
0.677247969,3.945368807
0.678514328,3.944605456
0.679780687,3.943651266
0.681047046,3.942697076
0.682313405,3.941933724
0.683579763,3.940979534
0.684846122,3.940025344
0.686112481,3.939261993
0.68737884,3.938307803
0.688645199,3.937544451
0.689911568,3.936590261
0.691177927,3.935826909
0.692444286,3.93487272
0.693710645,3.934109368
0.694977004,3.933346016
0.696243363,3.932582664
0.697509722,3.931819312
0.698776081,3.930865122
0.700042439,3.930292608
0.701308798,3.929338419
0.702575157,3.928575067
0.703841516,3.927811715
0.705107875,3.927048363
0.706374234,3.926285011
0.707640593,3.925521659
0.708906952,3.924949146
0.71017331,3.924185794
0.711439669,3.92361328
0.712706028,3.922849928
0.713972387,3.922086576
0.715238746,3.921323224
0.716505105,3.92075071
0.717771464,3.919987359
0.719037823,3.919224007
0.720304182,3.918651493
0.72157054,3.918078979
0.722836899,3.917506465
0.724103258,3.916933951
0.725369617,3.916361437
0.726635976,3.915788923
0.727902335,3.915025572
0.729168694,3.914643896
0.730435053,3.913880544
0.731701411,3.91330803
0.73296777,3.912735516
0.734234129,3.912163002
0.735500488,3.911781326
0.736766847,3.911208812
0.738033206,3.910636298
0.739299565,3.910063785
0.740565924,3.909491271
0.741832283,3.908918757
0.743098641,3.908537081
0.744365,3.908155405
0.745631359,3.907582891
0.746897718,3.907010377
0.748164077,3.906628701
0.749430436,3.906056187
0.750696795,3.905865349
0.751963154,3.905292836
0.753229513,3.90491116
0.754495871,3.904529484
0.75576223,3.90395697
0.757028589,3.903575294
0.758294948,3.903193618
0.759561307,3.902811942
0.760827666,3.902621104
0.762094025,3.902239428
0.763360384,3.901857752
0.764626742,3.901476076
0.765893101,3.9010944
0.76715946,3.900903562
0.768425819,3.900521887
0.769692178,3.900140211
0.770958537,3.899949373
0.772224896,3.899758535
0.773491255,3.899376859
0.774757613,3.899186021
0.776023972,3.898995183
0.777290331,3.898613507
0.77855669,3.898422669
0.779823049,3.898040993
0.781089408,3.897850155
0.782355767,3.897659317
0.783622126,3.897468479
0.784888485,3.897277641
0.786154843,3.897086803
0.787421202,3.896705127
0.788687561,3.896705127
0.78995392,3.896514289
0.791220279,3.896323451
0.792486638,3.896323451
0.793752997,3.896132613
0.795019356,3.895750938
0.796285715,3.895750938
0.797552073,3.8955601
0.798818432,3.895369262
0.800084791,3.895178424
0.80135115,3.894987586
0.802617509,3.894796748
0.803883868,3.89460591
0.805150227,3.89460591
0.806416586,3.894415072
0.807682944,3.894224234
0.808949303,3.894033396
0.810215662,3.894033396
0.811482021,3.893842558
0.81274838,3.89365172
0.814014739,3.89365172
0.815281098,3.893460882
0.816547457,3.893270044
0.817813816,3.893270044
0.819080174,3.893079206
0.820346533,3.892888368
0.821612892,3.89269753
0.822879251,3.89269753
0.82414561,3.892506692
0.825411969,3.892315854
0.826678328,3.892125016
0.827944687,3.891934178
0.829211045,3.891934178
0.830477404,3.89174334
0.831743763,3.891552502
0.833010122,3.891361664
0.834276481,3.891170826
0.83554284,3.890979989
0.836809199,3.890979989
0.838075558,3.890789151
0.839341917,3.890598313
0.840608275,3.890407475
0.841874634,3.890216637
0.843140993,3.890025799
0.844407352,3.889834961
0.845673711,3.889834961
0.84694007,3.889644123
0.848206429,3.889262447
0.849472788,3.889071609
0.850739146,3.888880771
0.852005505,3.888689933
0.853271864,3.888499095
0.854538223,3.888308257
0.855804582,3.888117419
0.857070941,3.887735743
0.8583373,3.887544905
0.859603659,3.887354067
0.860870018,3.887163229
0.862136376,3.886972391
0.863402735,3.886590715
0.864669094,3.88620904
0.865935453,3.886018202
0.867201812,3.885827364
0.868468171,3.885445688
0.86973453,3.885064012
0.871000889,3.884873174
0.872267247,3.884491498
0.873533606,3.88430066
0.874799965,3.883918984
0.876066324,3.883728146
0.877332683,3.88334647
0.878599042,3.882773956
0.879865401,3.882583118
0.88113176,3.882201442
0.882398119,3.881819766
0.883664477,3.88143809
0.884930836,3.881056415
0.886197195,3.880674739
0.887463554,3.880102225
0.888729913,3.879529711
0.889996272,3.879148035
0.891262631,3.878575521
0.89252899,3.878193845
0.893795349,3.877812169
0.895061707,3.877239655
0.896328066,3.876667141
0.897594425,3.876094628
0.898860784,3.875522114
0.900127143,3.8749496
0.901393502,3.874377086
0.902659861,3.873613734
0.90392622,3.87304122
0.905192579,3.872468706
0.906458937,3.871705354
0.907725296,3.871132841
0.908991655,3.870369489
0.910258014,3.869415299
0.911524373,3.868842785
0.912790732,3.868079433
0.914057091,3.867125243
0.915323449,3.866171054
0.916589808,3.865407702
0.917856167,3.864453512
0.919122526,3.863499322
0.920388885,3.862545132
0.921655244,3.861400105
0.922921603,3.860255077
0.924187962,3.859300887
0.92545432,3.858155859
0.926720679,3.856819994
0.927987038,3.855674966
0.929253397,3.854148262
0.930519756,3.853003234
0.931786115,3.851476531
0.933052474,3.849949827
0.934318833,3.848423123
0.935585192,3.84689642
0.93685155,3.84498804
0.938117909,3.843270498
0.939384268,3.841362119
0.940650627,3.839262901
0.941916986,3.837163684
0.943183345,3.835064466
0.944449704,3.832583573
0.945716063,3.830102679
0.946982421,3.827430948
0.94824878,3.824759216
0.949515139,3.821896647
0.950781498,3.818843239
0.952047857,3.815598994
0.953314216,3.812163911
0.954580575,3.808537989
0.955846934,3.804912068
0.957113293,3.800904471
0.958379651,3.796896874
0.95964601,3.792698439
0.960912369,3.788309166
0.962178728,3.783919893
0.963445087,3.779148944
0.964711446,3.774568832
0.965977805,3.769607045
0.967244164,3.765026934
0.968510523,3.760065147
0.969776881,3.75510336
0.97104324,3.750141573
0.972309599,3.745179786
0.973575958,3.740217999
0.974842317,3.735065375
0.976108676,3.72991275
0.977375035,3.724760125
0.978641394,3.719416662
0.979907752,3.713882361
0.981174111,3.708157222
0.98244047,3.702241245
0.983706829,3.696134431
0.984973188,3.689455102
0.986239547,3.682394097
0.987505906,3.674760579
0.988772265,3.666363709
0.990038623,3.656630973
0.991304982,3.645562371
0.992571341,3.632203714
0.9938377,3.615219135
0.995104059,3.591936904
0.996370418,3.557204395
0.997636777,3.501098035
0.998903136,3.4089233
